variableMetadata	set	gene	chromato	name	chebi_id	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M359.0472T3.24	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M359T3.2	359.04720568843	194.610568638597		[M+K+NaCOOH]+ 252.107 [M+2H]2+ 716.08	59	403	@M359.551T3.24|-13Cdb|@M360.0526T3.25|-13C	-0.609965943081729	0.185248371410385	0	0.157192377627986	0.882779670670018	0	0.936768101517799		0
M160.3425T1.89	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M160T2.38	160.342472978993	113.153505517039			2	NA		-0.414081771625247	0.185838879646635	0	0.0250030783003439	0.995314296863624	0	1.11367856376047		0
M484.2841T10.75	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M484T11	484.284149600343	644.983250976544		[M+H-H20]+ 501.287	22	198	@M590.324T10.79|-2(NH3)-(CO)-(CO2)|@M592.3308T10.79|-(C3H8O4)	-1.88378004462867	0.185868776195273	0	-1.33719835734068	0.46130104143213	0	0.745419522600592		0
M121.0487T5.42	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M121T5	121.048706225988	325.326414336181	[45][M+1]+		16	25	@M120.0454T5.42|+13C|@M139.0593T5.42|-(H2O)	-0.606923094169744	0.185868776195273	0	0.304768776520284	0.694028903263447	0	0.986004899424647		0
M319.2271T8.06	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M319T8.1	319.227074606113	483.717147009574	[548][M]+		1409	NA		0.530877665914499	0.185868776195273	0	0.672651641052791	0.193489610826947	0	0.807724563609694		0
M217.1439T7.76	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M217T8	217.143936710789	465.302004490889		[M+2H-NH3]2+ 449.291	5	NA		0.533003391594205	0.186476166481567	0	-0.379163127572557	0.514815927345567	0	0.652662237520933		0
M294.6411T8.8	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M295T9	294.641143371628	527.881326390198	[458][M+2]2+		72	279	@M295.1426T8.8|-13Cdb	-0.515318241414068	0.186496298977732	0	-0.0253090567131711	0.928097431326963	0	0.866160835889044		0
M509.7596T4.22	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M510T4	509.759637303746	252.907270496666			2126	NA		0.485293498220829	0.186496298977732	0	-0.113697665347765	0.896723207590201	0	0.921002214308367		0
M252.6382T3.05	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M253T3	252.638213120398	183.198770660219		[3M+2Na]2+ 153.09 [M+Na]+ 229.643	57	NA		-0.307596818117267	0.187509125455751	0	-0.162181916965221	0.589482153273035	0	0.767269514581123		0
M300.291T12.66	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M300T13	300.290987618534	759.301546054687			609	NA		-1.54826423552761	0.187639149211456	0	-0.869318012820578	0.567392882510056	0	0.771685790881764		0
M548.364T11.35	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M548T11.1	548.364005149573	680.974155664946	[1127][M+2]+		762	511	@M546.3579T11.34|+18O|+13C2|@M547.3613T11.34|+13C	-1.12776205271264	0.187639149211456	0	-1.02304200680534	0.343383409363459	0	0.735155460908755		0
M621.3214T4.98	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M621T5.4	621.321354273717	298.57919690731			8	NA		0.879385154797118	0.187639149211456	0	0.911423874282693	0.284013368077695	0	0.773265700295882		0
M303.201T3.04	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M303T3.2	303.200970284631	182.691004435932	[491][M+1]+		57	NA		-0.789262997462034	0.187639149211456	0	-0.104608511677466	0.875327480582055	0	0.54589177994659		0
M359.7077T5.05	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M360T5.1	359.707742028333	302.860940502849		[M+2H-CH2]2+ 731.425	8	NA		-0.52163369780533	0.187639149211456	0	-0.256914278072479	0.619379093621458	0	0.82265476542973		0
M168.7544T1.89	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M169T2.12	168.754352505396	113.191923769455			2	NA		-0.409891318614903	0.187639149211456	0	-0.0408310238014131	0.893653378766318	0	0.804264876784244		0
M418.186T1.44	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M418T1.3	418.186002071422	86.3283777185314			38	NA		2.64848994019993	0.187773860328991	0	-5.95059596133172	0.00279037676047427	1	0.835879614902846		0
M532.3137T7.54	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M532T8	532.31370564121	452.444594825063	[1083][M+1]+		407	NA		1.95630041019015	0.187773860328991	0	-0.471552414345958	0.892640063124831	0	0.798609526532688		0
M130T1.32_L.Pyroglutamic.acid.L.5..	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil	L-Pyroglutamic acid;L-5-Oxoproline;5-Oxo-L-proline|D-Pyroglutamic acid;5-oxo-D-proline	CHEBI:18183|CHEBI:16924	C01879|C02237	Metabolism of other amino acids	D-Glutamine and D-glutamate metabolism|Glutathione metabolism	D-Glutamate|L-Cysteine	HMDB00267	CID7405|CID439685	C5H7NO3	129.0426	ODHCTXKNWHHXJC-VKHMYHEASA-N|ODHCTXKNWHHXJC-GSVOUGTGSA-N	InChI=1S/C5H7NO3/c7-4-2-1-3(6-4)5(8)9/h3H,1-2H2,(H,6,7)(H,8,9)/t3-/m0/s1|InChI=1S/C5H7NO3/c7-4-2-1-3(6-4)5(8)9/h3H,1-2H2,(H,6,7)(H,8,9)/t3-/m1/s1	M130T1.32	130.050551375773	65.4165357601508	[63][M]+		7	NA		-0.225697500194396	0.187773860328991	0	-0.130912275711587	0.554526650936928	0	0.814722399671806		0
