variableMetadata	W616f	W617f	W620f	W621f	W622f	W623f	W625m	W627m	W628m	W629m	W630m	W631m	W632f	W633f	W634m	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L848m	L849m	L854f	L859m	L862f
M221.0862T6.67	16.23165527	16.45805907	16.10961113	11.76449594	15.96090718	15.64837359	15.89348593	16.21846693	16.05606442	15.53007434	16.06788723	16.12111317	16.63101359	15.9615078	15.82119275	14.56669685	15.39301901	15.25991315	13.80292827	15.73296605	15.85152921	15.27441128	14.19613642	14.6251369	15.3362513	15.97829374	15.54471726	15.05326792
M586.8545T9.19	19.43207961	19.3082897	19.59812558	19.2395074	19.20094122	19.38931981	19.39492067	19.30412334	19.25441669	19.44575487	19.34695235	19.354997	19.24665432	19.50895495	19.63060042	18.51247621	19.38738715	19.00190184	19.28947995	18.81626682	19.10409935	19.22507019	19.47855635	19.55769142	19.00954107	19.49451089	19.40185803	19.28521684
M167.9794T2.88	15.93248352	15.57619527	15.96508621	17.08140646	16.0676835	16.36921665	16.8855093	17.57269727	17.20142807	16.92079363	16.8475639	16.42438087	16.43993978	16.26406153	17.04391694	16.26174713	16.64662058	17.60319021	17.68046529	17.22253079	16.80976562	16.85527121	16.49884703	17.59486035	16.82867204	16.35819101	16.61108245	16.67265599
M779.2583T9.74	16.05431157	15.6749227	15.84788316	15.30240902	15.54049799	15.53061635	16.26920797	16.17681284	15.53066146	15.74997101	15.5406227	15.52231793	15.78947302	15.43885681	16.10751767	15.42661136	15.94251359	15.85248684	16.09671413	15.86123112	15.52039309	15.9118093	16.20240031	16.41301004	16.13626682	16.15797904	16.10266326	15.82994319
M565.5225T1.29	16.96129142	17.64298735	17.81216728	17.40979034	17.54273264	18.14446756	18.01458664	16.67616783	18.095979	18.70679075	18.67601835	18.33211918	17.51276824	18.74799559	18.40381842	16.22797236	17.63266157	17.01695624	17.65973743	14.92967913	17.20700097	19.10507317	17.31364745	18.02727591	17.50630758	17.87913748	18.03022204	17.00565525
M172.9915T1.7	20.78160064	20.74158137	21.25603818	22.47202119	21.75498697	21.91580281	21.7394473	22.4682673	21.60327046	21.54113869	21.84441308	22.06239074	22.55267519	22.77269131	21.75638611	21.37658275	21.69143513	23.2011323	22.30791619	23.36740115	21.83849841	22.08298354	22.42277109	23.45434084	22.41815604	21.15888454	23.30848152	21.37635011
M374.1573T6.61	14.38300424	14.23952544	14.49969705	13.75428521	13.92620517	13.1267327	15.1100889	15.31295278	14.74018763	13.21120343	14.18668919	14.91717858	15.14847579	14.51099591	14.30059637	14.45967239	14.17614977	14.96539741	14.81262808	15.51307987	15.4652437	14.3107356	14.9976254	14.60862273	14.59830262	14.55946015	14.79321109	14.49570016
M192.0668T2.14	19.35960373	18.26043122	19.36378122	18.97474703	18.5176075	18.813985	19.25818047	20.00992837	19.0353855	19.10989109	19.34599683	19.16578243	19.04704215	18.75229864	18.15941806	17.14574909	18.40423101	14.75718215	18.81277083	19.22681293	18.90862014	18.45594964	19.3954059	18.05990843	19.38031034	18.56921702	19.04023807	18.82975711
M334.0819T7.37	23.6915248	22.53097373	22.41581989	23.57958836	23.99339712	23.41565745	23.16025306	23.03419781	22.26425359	22.4924471	23.20486886	22.83638462	22.0813586	21.89041384	22.19051135	21.46241141	22.18839899	22.63160561	21.77083566	22.23258634	22.00299832	22.99834682	22.66629878	21.9822416	23.32598846	22.12200644	22.85819485	23.17224055
M305.0297T5.73	17.16834012	18.96126739	18.50723524	19.4046597	18.15246311	18.34244714	17.11310116	16.03990648	18.50879251	18.32154721	18.63869151	18.49034872	18.63361859	19.05290153	17.65836422	17.89688107	18.03751585	16.79491968	17.22987684	17.42287947	17.5738195	18.50853411	18.58791446	16.92247523	17.46334715	17.5772872	17.91909202	18.1999172
