variableMetadata	set	gene	chromato	name	chebi_id	annot_level	annot_confidence	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M847.8288T5.43	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M848T5	847.828800167804	325.606547103013		[3M+3K-H]2+ 526.591 [3M+2K]2+ 539.24 [M+H]+ 846.822	28	NA		0.999031155173466	0.236036933159164	0	-1.37724968230817	0.00853738705754791	1	1.72069850838696		0
M318.1829T5.74	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M318T6.1	318.182886104224	344.180596838626		[M+H]+ 317.181	88	NA		-0.548303307540404	0.236036933159164	0	-0.556470709298727	0.0557863205469314	0	2.19384966240101		0
M956.8064T6.15	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M957T6.1	956.806434991448	368.739135182476		[M+H+NH3]+ 938.781	79	NA		2.38070246846909	0.237929910772104	0	-0.501223567855261	0.706261835662067	0	2.3336237963954		0
M792.7823T6.23	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M793T6.1	792.782301005331	373.886309293645		[M+Na]+ 769.788	79	NA		1.19773932576421	0.237929910772104	0	0.0895266978252618	0.962529683784973	0	2.43734317284068		0
M281.1081T2.18	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M281T2	281.108074226663	130.802103924036			3229	NA		-0.463376189109066	0.238406553918802	0	0.0464594358369403	0.847575919093279	0	2.29357253543964		0
M191.1031T1.25	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M191T1.11	191.103104713249	75.0785628909352			1	NA		-0.918082364325333	0.241218073998036	0	-1.45268775738666	0.00147598396268543	1	1.60057828941562		0
M298.13T2.17	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M298T2.2	298.130012082606	130.078822401116	[450][M]+		3212	209	@M299.1333T2.17|-13C	-0.740197532331873	0.255326685467133	0	0.0772918876460107	0.845449711252607	0	1.99935911030168		0
M311.1228T5.19	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M311T5.1	311.122845755707	311.605764649718			3725	NA		-0.748565797123431	0.259250183393038	0	-0.0506724082553003	0.971610757323961	0	1.77265047329752		0
M129.7495T1.25	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M130T1.12	129.749508153434	74.9400787417719		[M+Na]+ 106.767 [M+H+NH3]+ 111.709	1	NA		-0.469149721990831	0.259250183393038	0	0.0940273783337453	0.725529672231898	0	1.75752568788694		0
M900.4266T5.03	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M900T5.1	900.426631300059	301.687090116671	[1410][M+1]2+		9	617	@M899.4241T5.03|+13C|@M899.9253T5.03|+13Cdb	1.27093433692441	0.262809090021421	0	-0.162303737297648	0.816635413846732	0	2.38444621757262		0
M247.1292T3.82	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M247T4.1	247.129162723173	229.128193323056		[M+Na+NaCOOH]+ 156.158 [M+Na+NH3]+ 207.12	8	NA		-0.664801201741591	0.262809090021421	0	-0.0403379647019477	0.980171026734554	0	1.69615524408666		0
M260.1619T2.29	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M260T2.1	260.161899623458	137.20591321617			127	NA		-0.617931576439794	0.262809090021421	0	-0.358995759225072	0.361336751502451	0	2.28162550608733		0
M142.9388T3.31	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M143T3.13	142.938822782077	198.491288534841		[M+H-CH4]+ 157.957	13	NA		-0.574245955069342	0.262809090021421	0	0.0176253426598727	0.928647921882469	0	2.31448012086547		0
M586.1205T4.88	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M586T5.3	586.120525775841	293.021162318833			3813	NA		-1.0371004122295	0.265831831775775	0	-0.409199944428485	0.565423117740563	0	2.48420491333043		0
M850.1191T7.12	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M850T7.1	850.119092450846	427.466037236416			38	557	@M729.1036T7.13|+(C3H7O2NS)	0.48487940302809	0.269574292773584	0	-0.99548884061999	0.000289874699535386	1	1.36877946201042		0
