variableMetadata	set	gene	chromato	name	chebi_id	annot_level	annot_confidence	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M922.2639T0.99	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M922T1	922.263883690953	59.1854367059652	[1497][M+2]+		3	NA		-0.332968749432744	0.465069616993439	0	-0.0372096051267761	0.967258574779842	0	0.838003136008752		0
M126.192T1.26	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M126T1.30	126.191950679721	75.4996322967409			1	NA		-0.306084888628657	0.46607293305746	0	-0.13955048423127	0.747048827834855	0	1.38352936874062		0
M368.0965T2.94	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M368T3.1	368.096527557654	176.531245471033	[684][M]+	[M+H+CF3COOH]+ 233.092 [M+H]+ 367.089	2376	415	@M369.1T2.94|-13C|@M370.0923T2.94|-34S|-41K|-37Cl|@M371.0956T2.94|-13C-37Cl|-13C-34S|@M390.0789T2.94|-Na	-0.664667269650547	0.466165102694496	0	-4.03925582084102	8.88836129951626e-10	1	0.426568939599591		0
M221.0932T2.13	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M221T2.1	221.093174360385	127.686114503328		[M+3H-NH3]3+ 677.281	75	NA		-0.249507679509739	0.466165102694496	0	0.0663489267551771	0.829224458315287	0	1.30001377033911		0
M506.1058T5.73	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M506T6.2	506.105757623818	343.812181478461			58	NA		-0.203941864156469	0.467208306318955	0	-0.259622401549541	0.246834558539786	0	1.3805296057526		0
M685.3496T4.72	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M685T5.2	685.349613117698	283.106704570714			71	NA		1.35632105706583	0.467508352136293	0	1.48557824146978	0.341777862623065	0	1.27412542115066		0
M589.1746T5.57	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M589T6.2	589.174647939098	334.348753734306			2882	NA		0.439574673202669	0.467508352136293	0	0.688302801758796	0.125914520156292	0	1.44822111224686		0
M597.3091T6.03	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M597T6.9	597.309073821157	361.69137284622	[1213][M]2+		64	704	@M597.8102T6.02|-13Cdb	0.43836870175269	0.467508352136293	0	-0.109472778275904	0.840823159997084	0	0.878049904583129		0
M165.183T1.89	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M165T2.39	165.182990052152	113.163482696127		[M+H+NH3]+ 147.15	2	NA		-0.437619437676871	0.467508352136293	0	-0.0160961914255147	0.999565929652484	0	1.03486798521742		0
M596.8163T5.94	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M597T6.3	596.816319433194	356.500689584001		[M+K]+ 557.852	76	NA		-0.437464473585438	0.467508352136293	0	-0.10308004307622	0.894569591916334	0	1.02963568424755		0
M692.3768T4.31	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M692T4	692.376836154117	258.393542947528	[1330][M]+	[M+H]+ 691.365	49	NA		-0.236691220797933	0.467508352136293	0	-0.564803365482701	0.0101663125234672	1	1.36290154901669		0
M514.3385T5.7	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M514T6.5	514.338516295522	341.791829655357			58	NA		-0.190767119538242	0.467508352136293	0	-0.081386222724543	0.768888452196328	0	1.40800313959666		0
M481.9349T5.81	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M482T6.2	481.934947228724	348.568317449693		[M+H-CH3]+ 495.939	58	NA		-1.66174591439259	0.467520578717509	0	0.0470442767688937	0.97030631909982	0	0.971211371402195		0
M127.3234T1.26	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M127T1.48	127.323415350102	75.5158561836597			1	NA		-0.293834203231725	0.467520578717509	0	-0.282922076254859	0.415768228647243	0	1.60256467294058		0
M155.5473T1.89	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M156T2	155.547262054119	113.116463615144			2	NA		-0.281312377272409	0.467520578717509	0	-0.0854471001349886	0.849638764433293	0	1.4358205424069		0
M613.1619T1.03	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M613T1	613.16187715587	61.5415944759718	[1245][M]+	[M+H-C6H10O5]+ 774.208	3	720	@M614.1654T1.03|-13C	0.155733522572262	0.467904425308979	0	-0.224150235505618	0.205685496131103	0	0.341525122925622		0
M464.243T10.17	metabolomics_liver_c18hypersil_pos	MX2	c18hypersil			NA												M464T10	464.243027482839	610.033233620617			1218	NA		-0.785002320278705	0.468338998668993	0	-2.33775545469683	0.00101716319557369	1	0.926251346694573		0
